Id,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Website,Exchange
1,YI,"111, Inc.",6.75,$551.2M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ
2,PIH,"1347 Property Insurance Holdings, Inc.",5.6,$33.67M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ
3,PIHPP,"1347 Property Insurance Holdings, Inc.",24.9959,$17.5M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ
4,TURN,180 Degree Capital Corp.,1.99,$61.93M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ
5,FLWS,"1-800 FLOWERS.COM, Inc.",20,$1.29B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.4499,$46.08M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ
7,FCCY,1st Constitution Bancorp (NJ),18.93,$163.32M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ
8,SRCE,1st Source Corporation,44.58,$1.14B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ
9,VNET,"21Vianet Group, Inc.",7.19,$808.1M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ
10,TWOU,"2U, Inc.",35.89,$2.26B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ
11,QFIN,"360 Finance, Inc.",13.67,$1.97B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ
12,JOBS,"51job, Inc.",70.21,$4.39B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ
13,JFK,8i Enterprises Acquisition Corp,9.91,$73.61M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,NASDAQ
14,JFKKR,8i Enterprises Acquisition Corp,0.28,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,NASDAQ
15,JFKKU,8i Enterprises Acquisition Corp,10.3,$51.5M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,NASDAQ
16,JFKKW,8i Enterprises Acquisition Corp,0.19,$1.09M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,NASDAQ
17,EGHT,8x8 Inc,24.2,$2.33B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ
18,AAON,"AAON, Inc.",48.03,$2.5B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ
19,ABEO,Abeona Therapeutics Inc.,5.37,$264M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ
20,ABEOW,Abeona Therapeutics Inc.,1.17,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ
21,ABIL,Ability Inc.,1.09,$8.76M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ
22,ABMD,"ABIOMED, Inc.",256.15,$11.56B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ
23,AXAS,Abraxas Petroleum Corporation,1.13,$190.26M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ
24,ACIU,AC Immune SA,5.8,$391.86M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ
25,ACIA,"Acacia Communications, Inc.",44.79,$1.82B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ
26,ACTG,Acacia Research Corporation,3.1,$155.2M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ
27,ACHC,"Acadia Healthcare Company, Inc.",34,$3.01B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ
28,ACAD,ACADIA Pharmaceuticals Inc.,25.42,$3.66B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ
29,ACAM,Acamar Partners Acquisition Corp.,9.8,$374.33M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,NASDAQ
30,ACAMU,Acamar Partners Acquisition Corp.,9.99,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,NASDAQ
31,ACAMW,Acamar Partners Acquisition Corp.,0.75,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,NASDAQ
32,ACST,"Acasti Pharma, Inc.",0.91,$71.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ
33,AXDX,"Accelerate Diagnostics, Inc.",20.06,$1.09B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,NASDAQ
34,XLRN,Acceleron Pharma Inc.,38.36,$2.02B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,NASDAQ
35,ARAY,Accuray Incorporated,3.7,$325.69M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,NASDAQ
36,ACRX,"AcelRx Pharmaceuticals, Inc.",2.34,$184.66M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,NASDAQ
37,ACER,Acer Therapeutics Inc.,16.99,$171.38M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,NASDAQ
38,ACHV,"Achieve Life Sciences, Inc. ",2.53,$19.8M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,NASDAQ
39,ACHN,"Achillion Pharmaceuticals, Inc.",2.98,$413.4M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,NASDAQ
40,ACIW,"ACI Worldwide, Inc.",32.03,$3.54B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,NASDAQ
41,ACRS,"Aclaris Therapeutics, Inc.",4.89,$201.82M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,NASDAQ
42,ACMR,"ACM Research, Inc.",16.73,$269.22M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,NASDAQ
43,ACNB,ACNB Corporation,36.76,$259.15M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,NASDAQ
44,ACOR,"Acorda Therapeutics, Inc.",7.68,$369.4M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,NASDAQ
45,ACTT,Act II Global Acquisition Corp.,9.71,$291.3M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt,NASDAQ
46,ACTTU,Act II Global Acquisition Corp.,10.11,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,NASDAQ
47,ACTTW,Act II Global Acquisition Corp.,0.68,$14.79M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw,NASDAQ
48,ATVI,"Activision Blizzard, Inc",45.07,$34.52B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,NASDAQ
49,ADMS,"Adamas Pharmaceuticals, Inc.",4.77,$131.33M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,NASDAQ
50,ADMP,Adamis Pharmaceuticals Corporation,1.42,$67.37M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,NASDAQ
51,ADAP,Adaptimmune Therapeutics plc,3.66,$383.3M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,NASDAQ
52,ADUS,Addus HomeCare Corporation,72.56,$956.53M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,NASDAQ
53,AEY,"ADDvantage Technologies Group, Inc.",1.45,$15.02M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,NASDAQ
54,IOTS,Adesto Technologies Corporation,7.85,$233.3M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,NASDAQ
55,ADIL,"Adial Pharmaceuticals, Inc",1.93,$19.72M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,NASDAQ
56,ADILW,"Adial Pharmaceuticals, Inc",0.3201,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,NASDAQ
57,ADMA,ADMA Biologics Inc,3.82,$226.59M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,NASDAQ
58,ADBE,Adobe Inc.,275.6,$134.48B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,NASDAQ
59,ADOM,"ADOMANI, Inc.",0.3169,$23.08M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,NASDAQ
60,ADTN,"ADTRAN, Inc.",16.47,$787.42M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,NASDAQ
61,ADRO,"Aduro Biotech, Inc.",1.89,$151.28M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,NASDAQ
62,ADES,"Advanced Emissions Solutions, Inc.",12.77,$238.15M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,NASDAQ
63,AEIS,"Advanced Energy Industries, Inc.",50.84,$1.94B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,NASDAQ
64,AMD,"Advanced Micro Devices, Inc.",29.2,$31.58B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,NASDAQ
65,ADXS,"Advaxis, Inc.",2.2,$17.65M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,NASDAQ
66,ADVM,"Adverum Biotechnologies, Inc.",11.51,$730.13M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,NASDAQ
67,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.32,$3.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc,NASDAQ
68,DWSH,AdvisorShares Dorsey Wright Short ETF,26.0599,$22.15M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh,NASDAQ
69,BKCH,AdvisorShares Sabretooth ETF,26.8923,$2.69M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bkch,NASDAQ
70,ACT,AdvisorShares Vice ETF,24.6612,$12.95M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act,NASDAQ
71,AEGN,Aegion Corp,16.28,$510.26M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,NASDAQ
72,AGLE,"Aeglea BioTherapeutics, Inc.",6.35,$183.19M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,NASDAQ
73,AEHR,Aehr Test Systems,1.6,$36.1M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,NASDAQ
74,AMTX,"Aemetis, Inc",0.95,$19.36M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,NASDAQ
75,AERI,"Aerie Pharmaceuticals, Inc.",33.29,$1.53B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,NASDAQ
76,AVAV,"AeroVironment, Inc.",61.49,$1.47B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,NASDAQ
77,ARPO,"Aerpio Pharmaceuticals, Inc.",0.965,$39.17M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,NASDAQ
78,AEZS,AEterna Zentaris Inc.,2.95,$47.82M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,NASDAQ
79,AEMD,"Aethlon Medical, Inc.",0.339,$6.43M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,NASDAQ
80,GNMX,"Aevi Genomic Medicine, Inc.",0.1788,$11.58M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,NASDAQ
81,AFMD,Affimed N.V.,3.23,$201.65M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,NASDAQ
82,AGBAU,AGBA Acquisition Limited,10.0412,$42.27M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbau,NASDAQ
83,AGEN,Agenus Inc.,2.88,$386.66M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,NASDAQ
84,AGRX,"Agile Therapeutics, Inc.",1.39,$60.8M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,NASDAQ
85,AGYS,"Agilysys, Inc.",22.69,$533.1M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,NASDAQ
86,AGIO,"Agios Pharmaceuticals, Inc.",50.66,$2.97B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,NASDAQ
87,AGMH,AGM Group Holdings Inc.,16.45,$546.4M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,NASDAQ
88,AGNC,AGNC Investment Corp.,16.79,$9.01B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,NASDAQ
89,AGNCB,AGNC Investment Corp.,25.82,$9.01B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,NASDAQ
90,AGNCM,AGNC Investment Corp.,25.36,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm,NASDAQ
91,AGNCN,AGNC Investment Corp.,26.4,"$343,200 ",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,NASDAQ
92,AGFS,"AgroFresh Solutions, Inc.",2.04,$104.96M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,NASDAQ
93,AGFSW,"AgroFresh Solutions, Inc.",0.0199,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,NASDAQ
94,ALRN,"Aileron Therapeutics, Inc.",0.89,$23.78M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,NASDAQ
95,AIMT,"Aimmune Therapeutics, Inc.",20.54,$1.28B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,NASDAQ
96,AIRT,"Air T, Inc.",17,$51.62M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,NASDAQ
97,AIRTP,"Air T, Inc.",2.69,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtp,NASDAQ
98,AIRTW,"Air T, Inc.",0.0996,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtw,NASDAQ
99,ATSG,"Air Transport Services Group, Inc",23.06,$1.37B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg,NASDAQ
100,AIRG,"Airgain, Inc.",13.865,$139.5M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,NASDAQ
101,ANTE,AirNet Technology Inc.,1.63,$20.48M,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/ante,NASDAQ
102,AITB,"AIT Therapeutics, Inc.",5.25,$53.5M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aitb,NASDAQ
103,AKAM,"Akamai Technologies, Inc.",76.58,$12.55B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,NASDAQ
104,AKTX,Akari Therapeutics Plc,2.2,$34.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,NASDAQ
105,AKCA,"Akcea Therapeutics, Inc.",24.39,$2.26B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,NASDAQ
106,AKBA,"Akebia Therapeutics, Inc.",4.43,$522.13M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,NASDAQ
107,AKER,Akers Biosciences Inc.,0.5653,$7.06M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,NASDAQ
108,AKRX,"Akorn, Inc.",4.34,$546.19M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,NASDAQ
109,AKTS,"Akoustis Technologies, Inc.",6.81,$204.69M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,NASDAQ
110,ALRM,"Alarm.com Holdings, Inc.",54.07,$2.61B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,NASDAQ
111,ALSK,"Alaska Communications Systems Group, Inc.",1.745,$93.85M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,NASDAQ
112,ALAC,Alberton Acquisition Corporation,10.09,$148.22M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac,NASDAQ
113,ALACR,Alberton Acquisition Corporation,0.19,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr,NASDAQ
114,ALACU,Alberton Acquisition Corporation,10.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,NASDAQ
115,ALACW,Alberton Acquisition Corporation,0.079,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw,NASDAQ
116,ALBO,"Albireo Pharma, Inc.",31.87,$383.69M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,NASDAQ
117,ABDC,Alcentra Capital Corp.,8.46,$108.93M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,NASDAQ
118,ALDR,"Alder BioPharmaceuticals, Inc.",12.45,$1.04B,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,NASDAQ
119,ALDX,"Aldeyra Therapeutics, Inc.",6.66,$183.09M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,NASDAQ
120,ALEC,"Alector, Inc.",20.35,$1.4B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec,NASDAQ
121,ALXN,"Alexion Pharmaceuticals, Inc.",120.14,$26.94B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,NASDAQ
122,ALCO,"Alico, Inc.",29.97,$223.88M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,NASDAQ
123,ALGN,"Align Technology, Inc.",288.68,$23.1B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,NASDAQ
124,ALIM,"Alimera Sciences, Inc.",0.92,$65.32M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,NASDAQ
125,ALYA,Alithya Group inc.,2.64,$128.04M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,NASDAQ
126,ALJJ,"ALJ Regional Holdings, Inc.",1.45,$55.14M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,NASDAQ
127,ALKS,Alkermes plc,22.18,$3.48B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,NASDAQ
128,ALLK,Allakos Inc.,43.3,$1.87B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,NASDAQ
129,ABTX,"Allegiance Bancshares, Inc.",32.9,$702.14M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,NASDAQ
130,ALGT,Allegiant Travel Company,141.6,$2.31B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,NASDAQ
131,ALGR,Allegro Merger Corp.,10.03,$191.17M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr,NASDAQ
132,ALGRR,Allegro Merger Corp.,0.24,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,NASDAQ
133,ALGRU,Allegro Merger Corp.,10.51,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru,NASDAQ
134,ALGRW,Allegro Merger Corp.,0.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,NASDAQ
135,ALNA,"Allena Pharmaceuticals, Inc.",4.69,$97.63M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,NASDAQ
136,ARLP,"Alliance Resource Partners, L.P.",16.99,$2.18B,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,NASDAQ
137,LNT,Alliant Energy Corporation,49.6,$11.77B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,NASDAQ
138,AHPI,"Allied Healthcare Products, Inc.",1.88,$7.55M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,NASDAQ
139,AMOT,"Allied Motion Technologies, Inc.",34.38,$330.29M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,NASDAQ
140,ALLO,"Allogene Therapeutics, Inc.",27.4,$3.33B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,NASDAQ
141,ALLT,Allot Ltd.,6.99,$237.92M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,NASDAQ
142,MDRX,"Allscripts Healthcare Solutions, Inc.",10.3,$1.71B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,NASDAQ
143,ALNY,"Alnylam Pharmaceuticals, Inc.",71.5,$7.62B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,NASDAQ
144,AOSL,Alpha and Omega Semiconductor Limited,8.46,$205.51M,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl,NASDAQ
145,GOOG,Alphabet Inc.,1092.5,$758.46B,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog,NASDAQ
146,GOOGL,Alphabet Inc.,1093.89,$759.43B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,NASDAQ
147,SMCP,AlphaMark Actively Managed Small Cap ETF,23.16,$22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp,NASDAQ
148,ATEC,"Alphatec Holdings, Inc.",4.58,$214.61M,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,NASDAQ
149,ALPN,"Alpine Immune Sciences, Inc.",4.5,$83.57M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,NASDAQ
150,AMR,"Alta Mesa Resources, Inc.",0.1529,$58.24M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,NASDAQ
151,AMRWW,"Alta Mesa Resources, Inc.",0.007,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,NASDAQ
152,AABA,Altaba Inc.,66.9,$34.76B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,NASDAQ
153,ALTR,Altair Engineering Inc.,37.52,$2.67B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,NASDAQ
154,ATHE,Alterity Therapeutics Limited,1.37,$19.66M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/athe,NASDAQ
155,ALT,"Altimmune, Inc.",2.46,$33.09M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,NASDAQ
156,ASPS,Altisource Portfolio Solutions S.A.,19.28,$313.85M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps,NASDAQ
157,AIMC,Altra Industrial Motion Corp.,35.8,$2.31B,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc,NASDAQ
158,ALTM,Altus Midstream Company,3.91,$1.27B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/altm,NASDAQ
159,AMAG,"AMAG Pharmaceuticals, Inc.",9.04,$305.25M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,NASDAQ
160,AMAL,Amalgamated Bank,16.8,$533.76M,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,NASDAQ
161,AMRN,Amarin Corporation plc,18.76,$6.2B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,NASDAQ
162,AMRK,"A-Mark Precious Metals, Inc.",12.66,$89.02M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,NASDAQ
163,AMZN,"Amazon.com, Inc.",1886.03,$928.55B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,NASDAQ
164,AMBC,"Ambac Financial Group, Inc.",15.1,$687.36M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,NASDAQ
165,AMBCW,"Ambac Financial Group, Inc.",6.95,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,NASDAQ
166,AMBA,"Ambarella, Inc.",41.7,$1.37B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,NASDAQ
167,AMCX,AMC Networks Inc.,55.08,$3.13B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,NASDAQ
168,AMCI,AMCI Acquisition Corp.,9.94,$274M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amci,NASDAQ
169,AMCIU,AMCI Acquisition Corp.,10.2,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu,NASDAQ
170,AMCIW,AMCI Acquisition Corp.,0.32,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw,NASDAQ
171,DOX,Amdocs Limited,61.44,$8.43B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,NASDAQ
172,AMED,Amedisys Inc,119.53,$3.83B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed,NASDAQ
173,AMTB,Amerant Bancorp Inc.,19.33,$835.14M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb,NASDAQ
174,AMTBB,Amerant Bancorp Inc.,13.59,$587.15M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtbb,NASDAQ
175,UHAL,Amerco,381.52,$7.48B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal,NASDAQ
176,AMRH,"Ameri Holdings, Inc.",0.3682,$18.53M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,NASDAQ
177,AMRHW,"Ameri Holdings, Inc.",0.06,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,NASDAQ
178,ATAX,"America First Multifamily Investors, L.P.",7.1,$429.03M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax,NASDAQ
179,AMOV,"America Movil, S.A.B. de C.V.",14.39,$47.5B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,NASDAQ
180,AAL,"American Airlines Group, Inc.",32.56,$14.48B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,NASDAQ
