Id,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Website,Exchange
3584,EGI,Entree Resources Ltd.,0.3117,$54.51M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi,NYSE
3585,ESP,Espey Mfg. & Electronics Corp.,24.97,$59.95M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esp,NYSE
3586,EVBN,"Evans Bancorp, Inc.",35.26,$172.19M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/evbn,NYSE
3587,EVI,"EVI Industries, Inc.",36.13,$424.03M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evi,NYSE
3588,EPM,"Evolution Petroleum Corporation, Inc.",6.4,$212.39M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm,NYSE
3589,FEN,First Trust Energy Income and Growth Fund,21.66,$432.86M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fen,NYSE
3590,BDL,"Flanigan&#39;s Enterprises, Inc.",24.11,$44.81M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/bdl,NYSE
3591,FSI,Flexible Solutions International Inc.,4.28,$50.23M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi,NYSE
3592,FTF,Franklin Limited Duration Income Trust,9.59,$289.03M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ftf,NYSE
3593,FSP,Franklin Street Properties Corp.,7.72,$827.82M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fsp,NYSE
3594,FRD,Friedman Industries Inc.,6.82,$47.8M,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd,NYSE
3595,FTNW,"FTE Networks, Inc.",0.96,$23.6M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw,NYSE
3596,GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",4.42,$602.57M,2005,n/a,n/a,https://www.nasdaq.com/symbol/ggn,NYSE
3597,GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.31,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggn^b,NYSE
3598,JOB,GEE Group Inc.,0.94,$11.33M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job,NYSE
3599,GMO,"General Moly, Inc",0.36,$43.31M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo,NYSE
3600,GSB,"GlobalSCAPE, Inc.",9.84,$169.43M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb,NYSE
3601,GSAT,"Globalstar, Inc.",0.5534,$802.49M,2006,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat,NYSE
3602,GLOW,"Glowpoint, Inc.",0.865,$4.4M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow,NYSE
3603,GORO,Gold Resource Corporation,3.13,$195.34M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro,NYSE
3604,GSV,Gold Standard Ventures Corporation,1.04,$270.44M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv,NYSE
3605,AUMN,Golden Minerals Company,0.265,$25.77M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn,NYSE
3606,GSS,"Golden Star Resources, Ltd",3.51,$382.12M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss,NYSE
3607,GV,Goldfield Corporation (The),2.3269,$57.06M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv,NYSE
3608,GDP,Goodrich Petroleum Corporation,11.24,$136.59M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp,NYSE
3609,GTE,Gran Tierra Energy Inc.,1.93,$745.63M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte,NYSE
3610,GPL,Great Panther Mining Limited,0.74,$206.17M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl,NYSE
3611,SIM,"Grupo Simec, S.A. de C.V.",8.23,$1.35B,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim,NYSE
3612,HEB,"Hemispherx BioPharma, Inc.",4.8,$10.56M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb,NYSE
3613,HEXO,HEXO Corp.,5.51,$1.41B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/hexo,NYSE
3614,HLM^,Hillman Group Capital Trust,32.16,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hlm^,NYSE
3615,HMG,"HMG/Courtland Properties, Inc.",13.39,$13.57M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg,NYSE
3616,HUSA,Houston American Energy Corporation,0.2219,$13.87M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa,NYSE
3617,IBIO,"iBio, Inc.",0.83,$16.35M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio,NYSE
3618,IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibo,NYSE
3619,IEC,IEC Electronics Corp.,6.385,$65.85M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec,NYSE
3620,IMH,"Impac Mortgage Holdings, Inc.",3.13,$66.3M,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh,NYSE
3621,IMO,Imperial Oil Limited,27.26,$21.24B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo,NYSE
3622,IOR,"Income Opportunity Realty Investors, Inc.",12.4705,$51.98M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior,NYSE
3623,IGC,India Globalization Capital Inc.,1.2,$47.41M,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/igc,NYSE
3624,INFU,"InfuSystems Holdings, Inc.",4.68,$92.21M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu,NYSE
3625,IHT,InnSuites Hospitality Trust,1.47,$14.07M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iht,NYSE
3626,NSPR,InspireMD Inc.,3.65,$5.1M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nspr,NYSE
3627,NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws,NYSE
3628,NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws.b,NYSE
3629,IDN,"Intellicheck, Inc.",5,$78.72M,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn,NYSE
3630,INS,Intelligent Systems Corporation,26.2,$231.9M,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ins,NYSE
3631,THM,International Tower Hill Mines Ltd,0.54,$101.04M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm,NYSE
3632,INTT,inTest Corporation,4.8,$50.74M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt,NYSE
3633,INUV,"Inuvo, Inc",0.71,$23.12M,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/inuv,NYSE
3634,VKI,Invesco Advantage Municipal Income Trust II,10.86,$482.09M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vki,NYSE
3635,ISR,"IsoRay, Inc.",0.4281,$28.83M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr,NYSE
3636,ISDR,Issuer Direct Corporation,10.99,$42.36M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr,NYSE
3637,ITP,"IT Tech Packaging, Inc.",0.8,$17.62M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/itp,NYSE
3638,KIQ,Kelso Technologies Inc,1.36,$63.81M,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq,NYSE
3639,LTS,Ladenburg Thalmann Financial Services Inc,3.5,$520.45M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lts,NYSE
3640,LTS^A,Ladenburg Thalmann Financial Services Inc,24.96,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lts^a,NYSE
3641,LTSH,Ladenburg Thalmann Financial Services Inc,25.24,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/ltsh,NYSE
3642,LTSK,Ladenburg Thalmann Financial Services Inc,24.48,n/a,2018,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsk,NYSE
3643,LTSL,Ladenburg Thalmann Financial Services Inc,23.4663,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsl,NYSE
3644,LTSF,Ladenburg Thalmann Financial Services Inc.,24.12,n/a,2018,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsf,NYSE
3645,LGL,"LGL Group, Inc. (The)",7.97,$38.84M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl,NYSE
3646,LBY,"Libbey, Inc.",1.6,$35.64M,1993,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby,NYSE
3647,LLEX,"Lilis Energy, Inc.",0.6856,$62.87M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex,NYSE
3648,MAG,MAG Silver Corporation,11.15,$953.77M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mag,NYSE
