Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Exchange
YI,"111, Inc.",6.75,$551.2M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ
PIH,"1347 Property Insurance Holdings, Inc.",5.6,$33.67M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ
PIHPP,"1347 Property Insurance Holdings, Inc.",24.9959,$17.5M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ
TURN,180 Degree Capital Corp.,1.99,$61.93M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",20,$1.29B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.4499,$46.08M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ
FCCY,1st Constitution Bancorp (NJ),18.93,$163.32M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ
SRCE,1st Source Corporation,44.58,$1.14B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ
VNET,"21Vianet Group, Inc.",7.19,$808.1M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ
TWOU,"2U, Inc.",35.89,$2.26B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ
QFIN,"360 Finance, Inc.",13.67,$1.97B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ
JOBS,"51job, Inc.",70.21,$4.39B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ
JFK,8i Enterprises Acquisition Corp,9.91,$73.61M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,NASDAQ
JFKKR,8i Enterprises Acquisition Corp,0.28,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,NASDAQ
JFKKU,8i Enterprises Acquisition Corp,10.3,$51.5M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,NASDAQ
JFKKW,8i Enterprises Acquisition Corp,0.19,$1.09M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,NASDAQ
EGHT,8x8 Inc,24.2,$2.33B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ
AAON,"AAON, Inc.",48.03,$2.5B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ
ABEO,Abeona Therapeutics Inc.,5.37,$264M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ
ABEOW,Abeona Therapeutics Inc.,1.17,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ
ABIL,Ability Inc.,1.09,$8.76M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ
ABMD,"ABIOMED, Inc.",256.15,$11.56B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ
AXAS,Abraxas Petroleum Corporation,1.13,$190.26M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ
ACIU,AC Immune SA,5.8,$391.86M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ
ACIA,"Acacia Communications, Inc.",44.79,$1.82B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ
ACTG,Acacia Research Corporation,3.1,$155.2M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",34,$3.01B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,25.42,$3.66B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ
ACAM,Acamar Partners Acquisition Corp.,9.8,$374.33M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,NASDAQ
ACAMU,Acamar Partners Acquisition Corp.,9.99,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,NASDAQ
ACAMW,Acamar Partners Acquisition Corp.,0.75,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,NASDAQ
ACST,"Acasti Pharma, Inc.",0.91,$71.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ
